alias_raw,alias_normalized,proposed_display,match_type,confidence,validation_status
"ORAL","oral","Oral",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Oral","oral","Oral",casefold_equality,1.0,SOURCE_VERIFIED
"OPHTHALMIC","ophthalmic","Ophthalmic",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Ophthalmic","ophthalmic","Ophthalmic",casefold_equality,1.0,SOURCE_VERIFIED
"INTRAVENOUS","intravenous","Intravenous",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Intravenous","intravenous","Intravenous",casefold_equality,1.0,SOURCE_VERIFIED
"TOPICAL","topical","Topical",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Topical","topical","Topical",casefold_equality,1.0,SOURCE_VERIFIED
"SUBCUTANEOUS","subcutaneous","Subcutaneous",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Subcutaneous","subcutaneous","Subcutaneous",casefold_equality,1.0,SOURCE_VERIFIED
"INTRAMUSCULAR","intramuscular","Intramuscular",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Intramuscular","intramuscular","Intramuscular",casefold_equality,1.0,SOURCE_VERIFIED
"SUBLINGUAL","sublingual","Sublingual",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Sublingual","sublingual","Sublingual",casefold_equality,1.0,SOURCE_VERIFIED
"RESPIRATORY (INHALATION)","respiratory (inhalation)","Respiratory (inhalation)",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Respiratory (inhalation)","respiratory (inhalation)","Respiratory (inhalation)",casefold_equality,1.0,SOURCE_VERIFIED
"NASAL","nasal","Nasal",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Nasal","nasal","Nasal",casefold_equality,1.0,SOURCE_VERIFIED
"INTRALUMINAL","intraluminal","Intraluminal",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Intraluminal","intraluminal","Intraluminal",casefold_equality,1.0,SOURCE_VERIFIED
"CUTANEOUS","cutaneous","Cutaneous",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Cutaneous","cutaneous","Cutaneous",casefold_equality,1.0,SOURCE_VERIFIED
"DENTAL","dental","Dental",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Dental","dental","Dental",casefold_equality,1.0,SOURCE_VERIFIED
"TRANSDERMAL","transdermal","Transdermal",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Transdermal","transdermal","Transdermal",casefold_equality,1.0,SOURCE_VERIFIED
"BUCCAL","buccal","Buccal",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Buccal","buccal","Buccal",casefold_equality,1.0,SOURCE_VERIFIED
"INTRAVASCULAR","intravascular","Intravascular",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Intravascular","intravascular","Intravascular",casefold_equality,1.0,SOURCE_VERIFIED
"RECTAL","rectal","Rectal",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Rectal","rectal","Rectal",casefold_equality,1.0,SOURCE_VERIFIED
"INTRA-ARTICULAR","intra-articular","Intra-articular",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Intra-articular","intra-articular","Intra-articular",casefold_equality,1.0,SOURCE_VERIFIED
"INTRALESIONAL","intralesional","Intralesional",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Intralesional","intralesional","Intralesional",casefold_equality,1.0,SOURCE_VERIFIED
"INTRACARDIAC","intracardiac","Intracardiac",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Intracardiac","intracardiac","Intracardiac",casefold_equality,1.0,SOURCE_VERIFIED
"SOFT TISSUE","soft tissue","Soft tissue",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Soft tissue","soft tissue","Soft tissue",casefold_equality,1.0,SOURCE_VERIFIED
"EPIDURAL","epidural","Epidural",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Epidural","epidural","Epidural",casefold_equality,1.0,SOURCE_VERIFIED
"INFILTRATION","infiltration","Infiltration",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Infiltration","infiltration","Infiltration",casefold_equality,1.0,SOURCE_VERIFIED
"VAGINAL","vaginal","Vaginal",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Vaginal","vaginal","Vaginal",casefold_equality,1.0,SOURCE_VERIFIED
"HEMODIALYSIS","hemodialysis","Hemodialysis",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Hemodialysis","hemodialysis","Hemodialysis",casefold_equality,1.0,SOURCE_VERIFIED
"INTRACAUDAL","intracaudal","Intracaudal",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Intracaudal","intracaudal","Intracaudal",casefold_equality,1.0,SOURCE_VERIFIED
"PERINEURAL","perineural","Perineural",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Perineural","perineural","Perineural",casefold_equality,1.0,SOURCE_VERIFIED
"INTRAOCULAR","intraocular","Intraocular",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Intraocular","intraocular","Intraocular",casefold_equality,1.0,SOURCE_VERIFIED
"INTRA-ARTERIAL","intra-arterial","Intra-arterial",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Intra-arterial","intra-arterial","Intra-arterial",casefold_equality,1.0,SOURCE_VERIFIED
"INTRATHECAL","intrathecal","Intrathecal",casefold_equality,1.0,AUTO_APPROVED_FORMATTING
"Intrathecal","intrathecal","Intrathecal",casefold_equality,1.0,SOURCE_VERIFIED
