route_key,example_display,product_component_count,case_variants
"oral","ORAL",371763,"ORAL|Oral"
"topical","TOPICAL",232533,"TOPICAL|Topical"
"intravenous","INTRAVENOUS",40018,"INTRAVENOUS|Intravenous"
"subcutaneous","SUBCUTANEOUS",25469,"SUBCUTANEOUS|Subcutaneous"
"intramuscular","INTRAMUSCULAR",14684,"INTRAMUSCULAR|Intramuscular"
"intradermal","INTRADERMAL",12757,"INTRADERMAL|Intradermal"
"ophthalmic","OPHTHALMIC",11488,"OPHTHALMIC|Ophthalmic"
"respiratory (inhalation)","RESPIRATORY (INHALATION)",8161,"RESPIRATORY (INHALATION)|Respiratory (inhalation)"
"dental","DENTAL",7075,"DENTAL|Dental"
"percutaneous","PERCUTANEOUS",5135,"PERCUTANEOUS|Percutaneous"
"sublingual","SUBLINGUAL",3790,"SUBLINGUAL|Sublingual"
"nasal","NASAL",3314,"NASAL|Nasal"
"cutaneous","CUTANEOUS",3041,"CUTANEOUS|Cutaneous"
"rectal","RECTAL",2662,"RECTAL|Rectal"
"transdermal","TRANSDERMAL",2499,"TRANSDERMAL|Transdermal"
"infiltration","INFILTRATION",2202,"INFILTRATION|Infiltration"
"vaginal","VAGINAL",1466,"VAGINAL|Vaginal"
"epidural","EPIDURAL",1415,"EPIDURAL|Epidural"
"perineural","PERINEURAL",1365,"PERINEURAL|Perineural"
"auricular (otic)","AURICULAR (OTIC)",1237,"AURICULAR (OTIC)|Auricular (otic)"
"parenteral","PARENTERAL",1181,"PARENTERAL|Parenteral"
"extracorporeal","EXTRACORPOREAL",1168,"EXTRACORPOREAL|Extracorporeal"
"hemodialysis","HEMODIALYSIS",1007,"HEMODIALYSIS|Hemodialysis"
"intra-articular","INTRA-ARTICULAR",939,"INTRA-ARTICULAR|Intra-articular"
"intraperitoneal","INTRAPERITONEAL",798,"INTRAPERITONEAL|Intraperitoneal"
"buccal","BUCCAL",788,"BUCCAL|Buccal"
"intralesional","INTRALESIONAL",647,"INTRALESIONAL|Intralesional"
"intracaudal","INTRACAUDAL",622,"INTRACAUDAL|Intracaudal"
"soft tissue","SOFT TISSUE",515,"SOFT TISSUE|Soft tissue"
"intrathecal","INTRATHECAL",503,"INTRATHECAL|Intrathecal"
"irrigation","IRRIGATION",483,"IRRIGATION|Irrigation"
"intravascular","INTRAVASCULAR",259,"INTRAVASCULAR|Intravascular"
"submucosal","SUBMUCOSAL",256,"SUBMUCOSAL|Submucosal"
"not applicable","Not applicable",242,"Not applicable"
"intra-arterial","INTRA-ARTERIAL",216,"INTRA-ARTERIAL|Intra-arterial"
"intravitreal","INTRAVITREAL",180,"INTRAVITREAL|Intravitreal"
"periodontal","PERIODONTAL",144,"PERIODONTAL|Periodontal"
"intravesical","INTRAVESICAL",139,"INTRAVESICAL|Intravesical"
"intraocular","INTRAOCULAR",135,"INTRAOCULAR|Intraocular"
"intrasynovial","INTRASYNOVIAL",114,"INTRASYNOVIAL|Intrasynovial"
"retrobulbar","RETROBULBAR",107,"RETROBULBAR|Retrobulbar"
"endotracheal","ENDOTRACHEAL",83,"ENDOTRACHEAL|Endotracheal"
"intracardiac","INTRACARDIAC",72,"INTRACARDIAC|Intracardiac"
"intrapleural","INTRAPLEURAL",71,"INTRAPLEURAL|Intrapleural"
"intracavitary","INTRACAVITARY",67,"INTRACAVITARY|Intracavitary"
"transmucosal","TRANSMUCOSAL",67,"TRANSMUCOSAL|Transmucosal"
"oropharyngeal","OROPHARYNGEAL",48,"OROPHARYNGEAL|Oropharyngeal"
"nasogastric","Nasogastric",46,"Nasogastric"
"intrauterine","INTRAUTERINE",44,"INTRAUTERINE|Intrauterine"
"intracavernous","INTRACAVERNOUS",42,"INTRACAVERNOUS|Intracavernous"
"intraspinal","Intraspinal",40,"Intraspinal"
"subarachnoid","SUBARACHNOID",37,"SUBARACHNOID|Subarachnoid"
"unknown","Unknown",37,"Unknown"
"intramedullary","INTRAMEDULLARY",34,"INTRAMEDULLARY|Intramedullary"
"subconjunctival","SUBCONJUNCTIVAL",33,"SUBCONJUNCTIVAL|Subconjunctival"
"intrabronchial","INTRABRONCHIAL",33,"INTRABRONCHIAL|Intrabronchial"
"intraventricular","INTRAVENTRICULAR",29,"INTRAVENTRICULAR|Intraventricular"
"urethral","URETHRAL",25,"URETHRAL|Urethral"
"conjunctival","CONJUNCTIVAL",14,"CONJUNCTIVAL|Conjunctival"
"interstitial","Interstitial",14,"Interstitial"
"enteral","ENTERAL",13,"ENTERAL|Enteral"
"intraepidermal","INTRAEPIDERMAL",11,"INTRAEPIDERMAL|Intraepidermal"
"intrasinal","INTRASINAL",11,"INTRASINAL|Intrasinal"
"intracoronary","INTRACORONARY",9,"INTRACORONARY|Intracoronary"
"electro-osmosis","Electro-osmosis",9,"Electro-osmosis"
"intraluminal","INTRALUMINAL",8,"INTRALUMINAL|Intraluminal"
"intrabursal","Intrabursal",8,"Intrabursal"
"ureteral","URETERAL",6,"URETERAL|Ureteral"
"transtracheal","TRANSTRACHEAL",6,"TRANSTRACHEAL|Transtracheal"
"occlusive dressing technique","Occlusive dressing technique",6,"Occlusive dressing technique"
"intrameningeal","INTRAMENINGEAL",5,"INTRAMENINGEAL|Intrameningeal"
"suprachoroidal","SUPRACHOROIDAL",5,"SUPRACHOROIDAL"
"intracerebral","INTRACEREBRAL",5,"INTRACEREBRAL|Intracerebral"
"intralymphatic","INTRALYMPHATIC",5,"INTRALYMPHATIC|Intralymphatic"
"periarticular","Periarticular",5,"Periarticular"
"intracameral","INTRACAMERAL",4,"INTRACAMERAL"
"subgingival","SUBGINGIVAL",4,"SUBGINGIVAL"
"intragastric","INTRAGASTRIC",3,"INTRAGASTRIC|Intragastric"
"iontophoresis","Iontophoresis",3,"Iontophoresis"
"laryngeal","Laryngeal",3,"Laryngeal"
